,charaka,book_name
0,page_no:4 ,Charak Samhita
1,0,Charak Samhita
2," thya, Cyavana, The Bhargava (of Bhrgu's Clan), Abhijit, Gargya, Sandilya, Kaundilya  (nya), Varksi, Devala, Galava, Sankrtya, Baijavapi, KuSika, Badarayana, Badisa,  Saraloma, Kapya, Katyayana, Kankayana, Kaikaseya, Dhaumya, MarTca, Kasyapa,  Sarkaraksa, Hiranyaksa, Lokaksa, Paingi, Saunaka, Sakuneya, Maitreya, Maimatayani  alongwith the sages of the Vaikhanasa and Valakhilya orders and other great sages.  They all, sources of spiritual knowledge, selfcontrol and restraint of mind, illumined  with brilliance of penance like fire having oblations, took their seats comfortably  and held auspicious deliberations. ",Charak Samhita
3,14-Aug,Charak Samhita
4," Disease-free condition is the best source of virtue, wealth, gratification and eman- cipation while diseases are destroyers of this (source), welfare and life itself. Now  this has appeared as a great obstacle for human beings and what could be the means  for their amelioration. Saying this they meditated on this. Then with their meditalive  vision they saw Indra as saviour. That god of gods is only able to tell the correct  means of amelioration (of diseases). ",Charak Samhita
5,15-17,Charak Samhita
6," Bharadwaja 'I may be deputed for this work' and so he was deputed by the sages.  Having gone to Indra’s abode, he was the killer of Bala sitting in the midst of the  groups of godly sages and glittering like fire. He approched him with felicitating words  of praises and blessings and the intelligent one submitted to him the message of the  sages humbly and in the best possible way-""Diseases causing fear in all living beings  have appeared, so, O Lord of gods, tell me the proper measures for (their) ameliora- tion"". Then Lord Indra, having observed the wide intelligence of the great sage, deliv- ered to him Ayurveda in a few words. ",Charak Samhita
7,18-23,Charak Samhita
8," Ayurveda providing knowledge of aetiology, symptomalogy and therapeutics,  best way for both the healthy and the sick, tri-aphorismic, continuing for the time  immemorial and virtuous which was known by Brahma (creator) first. ",Charak Samhita
9,24,Charak Samhita
10, ,Charak Samhita
11,page_no: ,Charak Samhita
12,0,Charak Samhita
13," He (Bharadwaja), the intelligent and devoted sage, ecquired the endless and  three-pronged Ayurveda properly and entirely in a short time. By this Bharadwaja  attained immeasurable happy life-span and transmitted that, as it is (neither more nor  less) to the sages. ",Charak Samhita
14,25-26,Charak Samhita
15," The sages, desirous of long life, too received that benevolent Veda (compendium  of knowledge) of promoting life-span from Bhdradwaja. The great sages further grasped  properly the knowledge of Samanya (similarity), Visesa (dissimilarity), Guna (prop- erties), Dravya (substance), Karma (action) and Samavaya (inherence) by which they  followed firmly the tenets of the compendium and attained highest well-being and  non-perishable life-span. ",Charak Samhita
16,27-29,Charak Samhita
17," Now, Punarvasu, out of friendliness, bestowed the virtuous Ayurveda upon the  six disciples prompted with compassion on all creatures. (The disciples) Agnivesa,  Bhela, Jatukarna, Parasara, Harita and Ksarapani received the word (of instruction)  from the sage (Punarvasu). ",Charak Samhita
18,30-31,Charak Samhita
19," It was only the extraordinary merit and not the different instruction of the sage  that made Agnivesa the author of the compendium first. Afterwards, Bhela etc. also  authored their own compendiums and all of them, intelligent ones, presented their  works before Atreya alongwith the group of sages. The sages, on hearing the composition  of benevolent topics, were extremely pleased and approved it with the remark that they ",Charak Samhita
20,page_no:6 ,Charak Samhita
21,0,Charak Samhita
22," were properly composed. All praised them, the benefactors of all creatures, alongwith  the loud applause for the compassion on creatures. These (loud) virtuous words of  the great sages were heard by the godly sages and gods living in heaven and they  were extremely delighted. The deep and affectionate sound of 'well done' expressed  by the creatures with happiness in the sky resounded the three worlds. The pleasant  wind began to blow, all corners blossomed with lustre and there were divine showers  of flowers and water. Then the goddesses of knowledge Buddhi (intelligence), Siddhi  (success), Smrti (memory), Medha (intellect), Dhrti (restraint), KIrti (fame), Ksama  (forbearance) and Daya (kindness) entered into Agnivesa etc. Thus their compendi-  ums approved by the great sages were established on (strong) footing for the welfare  of the creatures. ",Charak Samhita
23,32-40,Charak Samhita
24," Ayurveda is that which deals with good, bad, happy and unhappy life, its pro- moters and non-promoters, measure and nature). ",Charak Samhita
25,41,Charak Samhita
26," 'Ayus' means the conjunction of body, sense organs, mind and self and is known  by the synonyms dhari, jlvita, nityaga and anubandha. ",Charak Samhita
27,42,Charak Samhita
28, The scholars of Vedas regard the Veda of that Ayus as the most virtuous one  which is said as good for both the worlds for the human beings. ,Charak Samhita
